employee,day,login_hour,files_accessed,emails_sent,usb_used,after_hours,is_malicious
Joseph Johns,0,8,44,10,0,0,0
Joseph Johns,1,8,31,9,0,0,0
Joseph Johns,2,9,29,16,0,0,0
Joseph Johns,3,7,30,15,0,0,0
Joseph Johns,4,7,28,12,0,0,0
Joseph Johns,5,9,31,18,0,0,0
Joseph Johns,6,7,39,15,0,0,0
Joseph Johns,7,9,33,19,0,0,0
Joseph Johns,8,7,43,17,0,0,0
Joseph Johns,9,8,31,13,0,0,0
Joseph Johns,10,9,40,19,0,0,0
Joseph Johns,11,9,46,16,0,0,0
Joseph Johns,12,9,33,6,0,0,0
Joseph Johns,13,8,26,8,0,0,0
Joseph Johns,14,7,46,10,0,0,0
Joseph Johns,15,7,42,13,0,0,0
Joseph Johns,16,7,28,11,0,0,0
Joseph Johns,17,8,31,10,0,0,0
Joseph Johns,18,9,32,6,0,0,0
Joseph Johns,19,7,35,19,0,0,0
Joseph Johns,20,9,44,14,0,0,0
Joseph Johns,21,9,40,19,0,0,0
Joseph Johns,22,9,45,15,0,0,0
Joseph Johns,23,7,31,13,0,0,0
Joseph Johns,24,7,46,18,0,0,0
Joseph Johns,25,8,39,10,0,0,0
Joseph Johns,26,7,41,5,0,0,0
Joseph Johns,27,8,37,10,0,0,0
Joseph Johns,28,7,39,13,0,0,0
Joseph Johns,29,8,26,13,0,0,0
Joseph Johns,30,7,46,13,0,0,0
Joseph Johns,31,7,35,16,0,0,0
Joseph Johns,32,8,40,14,0,0,0
Joseph Johns,33,9,32,11,0,0,0
Joseph Johns,34,8,35,13,0,0,0
Joseph Johns,35,7,43,14,0,0,0
Joseph Johns,36,8,45,12,0,0,0
Joseph Johns,37,9,42,10,0,0,0
Joseph Johns,38,8,36,11,0,0,0
Joseph Johns,39,8,28,14,0,0,0
Joseph Johns,40,8,40,12,0,0,0
Joseph Johns,41,8,32,16,0,0,0
Joseph Johns,42,9,37,9,0,0,0
Joseph Johns,43,7,29,18,0,0,0
Joseph Johns,44,9,45,12,0,0,0
Joseph Johns,45,7,34,7,0,0,0
Joseph Johns,46,8,44,8,0,0,0
Joseph Johns,47,9,40,9,0,0,0
Joseph Johns,48,9,37,6,0,0,0
Joseph Johns,49,8,26,13,0,0,0
Joseph Johns,50,7,38,12,0,0,0
Joseph Johns,51,7,32,14,0,0,0
Joseph Johns,52,9,40,10,0,0,0
Joseph Johns,53,7,32,5,0,0,0
Joseph Johns,54,9,32,15,0,0,0
Joseph Johns,55,9,43,17,0,0,0
Joseph Johns,56,8,27,9,0,0,0
Joseph Johns,57,8,30,13,0,0,0
Joseph Johns,58,8,41,16,0,0,0
Joseph Johns,59,8,27,17,0,0,0
Joseph Johns,60,7,33,8,0,0,0
Joseph Johns,61,9,32,11,0,0,0
Joseph Johns,62,8,30,7,0,0,0
Joseph Johns,63,8,26,15,0,0,0
Joseph Johns,64,7,45,14,0,0,0
Joseph Johns,65,7,45,14,0,0,0
Joseph Johns,66,9,31,13,0,0,0
Joseph Johns,67,7,36,16,0,0,0
Joseph Johns,68,8,41,18,0,0,0
Joseph Johns,69,9,28,14,0,0,0
