employee,day,login_hour,files_accessed,emails_sent,usb_used,after_hours,is_malicious,anomaly_score,is_anomaly,risk_score
Joseph Johns,0,8,44,10,0,0,0,0.11773037109445383,0,5.463384538877369
Joseph Johns,1,8,31,9,0,0,0,0.1123944208682594,0,6.730019406626553
Joseph Johns,2,9,29,16,0,0,0,0.12276415032925364,0,4.268478285057887
Joseph Johns,3,7,30,15,0,0,0,0.033890158001205095,0,25.365170110660685
Joseph Johns,4,7,28,12,0,0,0,0.037071519999515856,0,24.609986148446982
Joseph Johns,5,9,31,18,0,0,0,0.10303870927684289,0,8.950855436190663
Joseph Johns,6,7,39,15,0,0,0,0.05571061882618533,0,20.18548226882212
Joseph Johns,7,9,33,19,0,0,0,0.09511402277731873,0,10.831998215035
Joseph Johns,8,7,43,17,0,0,0,0.030253633488960485,0,26.228399441778095
Joseph Johns,9,8,31,13,0,0,0,0.12327436032013656,0,4.147365880156917
Joseph Johns,10,9,40,19,0,0,0,0.09872584908878157,0,9.974631682660974
Joseph Johns,11,9,46,16,0,0,0,0.1253526551130441,0,3.6540253243857013
Joseph Johns,12,9,33,6,0,0,0,0.08742046303708473,0,12.658276686721903
Joseph Johns,13,8,26,8,0,0,0,0.09036340554871053,0,11.95968816153149
Joseph Johns,14,7,46,10,0,0,0,0.056838736264089196,0,19.917692499204275
Joseph Johns,15,7,42,13,0,0,0,0.05669062332780955,0,19.952851187254915
Joseph Johns,16,7,28,11,0,0,0,0.0384010955524452,0,24.294374742182367
Joseph Johns,17,8,31,10,0,0,0,0.11420933487761686,0,6.299199539729461
Joseph Johns,18,9,32,6,0,0,0,0.08192961977697466,0,13.96167968558405
Joseph Johns,19,7,35,19,0,0,0,0.006349811735733124,0,31.90263042625502
Joseph Johns,20,9,44,14,0,0,0,0.1343705000473166,0,1.5133912589418097
Joseph Johns,21,9,40,19,0,0,0,0.09872584908878157,0,9.974631682660974
Joseph Johns,22,9,45,15,0,0,0,0.12670799668548105,0,3.3322976431695017
Joseph Johns,23,7,31,13,0,0,0,0.05151330010584132,0,21.18183156311375
Joseph Johns,24,7,46,18,0,0,0,0.01858200588043535,0,28.998981974532633
Joseph Johns,25,8,39,10,0,0,0,0.11758059617333338,0,5.4989377448413705
Joseph Johns,26,7,41,5,0,0,0,-0.009095962680900183,1,35.569110735508026
Joseph Johns,27,8,37,10,0,0,0,0.11713287306729336,0,5.605217165219645
Joseph Johns,28,7,39,13,0,0,0,0.06125884389799208,0,18.86845811526613
Joseph Johns,29,8,26,13,0,0,0,0.11289513727291078,0,6.611160566101393
Joseph Johns,30,7,46,13,0,0,0,0.06141755735632759,0,18.830783101109905
Joseph Johns,31,7,35,16,0,0,0,0.04537950107815586,0,22.637857836014994
Joseph Johns,32,8,40,14,0,0,0,0.12300629368148835,0,4.21099888590073
Joseph Johns,33,9,32,11,0,0,0,0.12654392724229652,0,3.371244047963451
Joseph Johns,34,8,35,13,0,0,0,0.12538840446866528,0,3.6455392294241995
Joseph Johns,35,7,43,14,0,0,0,0.057598465421737355,0,19.7373498422584
Joseph Johns,36,8,45,12,0,0,0,0.12027643135428057,0,4.85900695592022
Joseph Johns,37,9,42,10,0,0,0,0.13189613847274922,0,2.10074918263089
Joseph Johns,38,8,36,11,0,0,0,0.11061492183200855,0,7.152432553468991
Joseph Johns,39,8,28,14,0,0,0,0.11456832158372376,0,6.213984149829221
Joseph Johns,40,8,40,12,0,0,0,0.11961400066359978,0,5.016253139770377
Joseph Johns,41,8,32,16,0,0,0,0.10810284412561433,0,7.748743440664729
Joseph Johns,42,9,37,9,0,0,0,0.12987984412459663,0,2.5793722238426353
Joseph Johns,43,7,29,18,0,0,0,0.0017313315562258458,0,32.99895400188638
Joseph Johns,44,9,45,12,0,0,0,0.13184178213029857,0,2.1136521588043355
Joseph Johns,45,7,34,7,0,0,0,0.037455475696918206,0,24.5188436802108
Joseph Johns,46,8,44,8,0,0,0,0.10354467923214955,0,8.830749520607185
Joseph Johns,47,9,40,9,0,0,0,0.13272714510041345,0,1.9034868534654081
Joseph Johns,48,9,37,6,0,0,0,0.08220239394681328,0,13.896929217552545
Joseph Johns,49,8,26,13,0,0,0,0.11289513727291078,0,6.611160566101393
Joseph Johns,50,7,38,12,0,0,0,0.058481906712176124,0,19.52764070056029
Joseph Johns,51,7,32,14,0,0,0,0.06083225087396682,0,18.96972172824296
Joseph Johns,52,9,40,10,0,0,0,0.13344150387216674,0,1.7339141082131526
Joseph Johns,53,7,32,5,0,0,0,-0.008796860011221708,1,35.498110472313705
Joseph Johns,54,9,32,15,0,0,0,0.1327279190954585,0,1.9033031244068632
Joseph Johns,55,9,43,17,0,0,0,0.12296841101492173,0,4.219991381018295
Joseph Johns,56,8,27,9,0,0,0,0.10467177090768404,0,8.563203243962104
Joseph Johns,57,8,30,13,0,0,0,0.1201535178156995,0,4.888183872324148
Joseph Johns,58,8,41,16,0,0,0,0.11122696947443067,0,7.007146174894874
Joseph Johns,59,8,27,17,0,0,0,0.0861304961690153,0,12.964485879850606
Joseph Johns,60,7,33,8,0,0,0,0.04602085607052708,0,22.485614550094812
Joseph Johns,61,9,32,11,0,0,0,0.12654392724229652,0,3.371244047963451
Joseph Johns,62,8,30,7,0,0,0,0.08995307300664152,0,12.057091900907723
Joseph Johns,63,8,26,15,0,0,0,0.09762163994809608,0,10.23674615891933
Joseph Johns,64,7,45,14,0,0,0,0.058223301360690594,0,19.58902780900258
Joseph Johns,65,7,45,14,0,0,0,0.058223301360690594,0,19.58902780900258
Joseph Johns,66,9,31,13,0,0,0,0.1325127428102963,0,1.9543811468668904
Joseph Johns,67,7,36,16,0,0,0,0.044798760685456684,0,22.77571257590596
Joseph Johns,68,8,41,18,0,0,0,0.08487964202606069,0,13.261410589559674
Joseph Johns,69,9,28,14,0,0,0,0.13221221910212766,0,2.0257187327167414
Joseph Johns,70,9,35,17,0,0,0,0.11557350468836614,0,5.975376232805896
Joseph Johns,71,7,26,10,0,0,0,0.03782188255556207,0,24.43186691257484
Joseph Johns,72,8,35,13,0,0,0,0.12538840446866528,0,3.6455392294241995
Joseph Johns,73,9,39,6,0,0,0,0.08752777998880207,0,12.632802050118574
Joseph Johns,74,7,34,20,0,0,0,-0.02306441045327201,1,38.88490684431807
Joseph Johns,75,8,30,11,0,0,0,0.10282991012929882,0,9.0004196692559
Joseph Johns,76,8,41,17,0,0,0,0.09857604171423534,0,10.01019259234014
Joseph Johns,77,9,46,14,0,0,0,0.13120444588927832,0,2.2649414833174286
Joseph Johns,78,7,36,6,0,0,0,0.013795164207105137,0,30.135270791484192
Joseph Johns,79,9,43,8,0,0,0,0.12143879506368199,0,4.583087889789017
Joseph Johns,80,8,45,13,0,0,0,0.12244264193287835,0,4.34479716508116
Joseph Johns,81,8,27,17,0,0,0,0.0861304961690153,0,12.964485879850606
Joseph Johns,82,7,29,8,0,0,0,0.03501385198255691,0,25.098430370384804
Joseph Johns,83,7,45,16,0,0,0,0.039855048156898,0,23.94923901437629
Joseph Johns,84,7,36,13,0,0,0,0.059489515719427566,0,19.28845692868447
Joseph Johns,85,9,45,12,0,0,0,0.13184178213029857,0,2.1136521588043355
Joseph Johns,86,7,35,9,0,0,0,0.05388008432429481,0,20.62001009018939
Joseph Johns,87,8,44,13,0,0,0,0.12414508455355372,0,3.94067548247925
Joseph Johns,88,8,38,18,0,0,0,0.09013532607228719,0,12.013829112104379
Joseph Johns,89,8,38,15,0,0,0,0.1167657482602249,0,5.692364357703905
Timothy Patel,0,10,47,14,0,0,0,0.10546999394400591,0,8.373723003857425
Timothy Patel,1,11,49,11,0,0,0,0.007963092358272639,0,31.51967380159587
Timothy Patel,2,9,37,13,0,0,0,0.13667667532581945,0,0.9659569885557828
Timothy Patel,3,9,41,14,0,0,0,0.13668485494429022,0,0.9640153306465504
Timothy Patel,4,10,45,19,0,0,0,0.06691152142031126,0,17.52663929342567
